Date/time,PM10 [ug/m3],PM2.5 [ug/m3],TEMP [C]
2021-04-30 13:30:00+02:00,17.25,15.13,16.0
2021-04-30 13:35:00+02:00,17.1,17.1,16.2
2021-04-30 13:40:00+02:00,12.76,12.76,16.8
2021-04-30 13:45:00+02:00,17.77,16.95,16.1
2021-04-30 13:50:00+02:00,20.26,17.51,14.8
2021-04-30 13:55:00+02:00,18.67,17.62,14.7
2021-04-30 14:00:00+02:00,17.69,15.42,15.4
2021-04-30 14:05:00+02:00,20.57,18.4,14.9
2021-04-30 14:10:00+02:00,10.29,10.29,15.2
2021-04-30 14:15:00+02:00,16.46,16.46,14.6
2021-04-30 14:20:00+02:00,18.82,17.24,13.8
2021-04-30 14:25:00+02:00,13.55,13.55,13.5
2021-04-30 14:30:00+02:00,21.87,19.64,13.0
2021-04-30 14:35:00+02:00,24.56,20.1,12.2
2021-04-30 14:40:00+02:00,22.24,18.6,12.1
2021-04-30 14:45:00+02:00,16.4,16.4,12.0
2021-04-30 14:50:00+02:00,24.13,19.89,11.3
2021-04-30 14:55:00+02:00,13.99,12.47,11.2
2021-04-30 15:00:00+02:00,15.08,14.02,11.3
2021-04-30 15:05:00+02:00,14.87,14.87,10.3
2021-04-30 15:10:00+02:00,31.21,27.0,9.7
2021-04-30 15:15:00+02:00,11.51,10.43,9.1
2021-04-30 15:20:00+02:00,16.69,13.92,8.4
2021-04-30 15:25:00+02:00,13.24,11.59,8.4
2021-04-30 15:30:00+02:00,19.83,17.37,8.0
2021-04-30 15:35:00+02:00,13.04,13.04,7.9
2021-04-30 15:40:00+02:00,15.73,14.06,8.0
2021-04-30 15:45:00+02:00,14.11,11.57,8.1
2021-04-30 15:50:00+02:00,25.5,20.96,8.2
2021-04-30 15:55:00+02:00,14.03,12.92,8.7
2021-04-30 16:00:00+02:00,17.76,15.92,7.7
2021-04-30 16:05:00+02:00,13.13,11.01,7.7
2021-04-30 16:10:00+02:00,22.26,17.66,7.6
2021-04-30 16:15:00+02:00,9.22,8.78,7.9
2021-04-30 16:20:00+02:00,6.34,6.34,7.7
2021-04-30 16:25:00+02:00,13.55,12.59,8.0
2021-04-30 16:30:00+02:00,25.68,20.75,7.9
2021-04-30 16:35:00+02:00,22.82,20.93,8.0
2021-04-30 16:40:00+02:00,12.04,10.0,7.7
2021-04-30 16:45:00+02:00,16.39,15.45,7.9
2021-04-30 16:50:00+02:00,8.2,8.2,7.9
2021-04-30 16:55:00+02:00,8.3,8.3,7.6
2021-04-30 17:00:00+02:00,6.93,6.93,7.4
2021-04-30 17:05:00+02:00,13.29,12.16,7.6
2021-04-30 17:10:00+02:00,11.08,11.08,7.8
2021-04-30 17:15:00+02:00,11.89,10.81,8.2
2021-04-30 17:20:00+02:00,6.67,6.06,7.8
2021-04-30 17:25:00+02:00,17.71,14.04,7.8
2021-04-30 17:30:00+02:00,5.86,5.86,7.5
2021-04-30 17:35:00+02:00,15.01,10.64,7.1
2021-04-30 17:40:00+02:00,5.54,5.54,7.0
2021-04-30 17:45:00+02:00,20.6,14.15,6.7
2021-04-30 17:50:00+02:00,27.31,27.31,6.2
2021-04-30 17:55:00+02:00,5.26,5.26,6.3
2021-04-30 18:00:00+02:00,5.54,5.07,6.2
2021-04-30 18:05:00+02:00,9.66,7.51,6.5
2021-04-30 18:10:00+02:00,10.0,10.0,6.4
2021-04-30 18:15:00+02:00,6.18,6.18,6.8
2021-04-30 18:20:00+02:00,12.13,10.63,7.0
2021-04-30 18:25:00+02:00,16.94,13.43,6.8
2021-04-30 18:30:00+02:00,9.47,8.7,6.8
2021-04-30 18:35:00+02:00,14.06,13.47,6.6
2021-04-30 18:40:00+02:00,8.87,8.06,6.8
2021-04-30 18:45:00+02:00,9.89,9.46,6.7
2021-04-30 18:50:00+02:00,9.19,8.55,6.7
2021-04-30 18:55:00+02:00,13.66,12.01,6.2
2021-04-30 19:00:00+02:00,10.73,10.73,6.4
2021-04-30 19:05:00+02:00,7.34,6.39,6.3
2021-04-30 19:10:00+02:00,10.81,10.81,6.3
2021-04-30 19:15:00+02:00,9.64,9.64,6.0
2021-04-30 19:20:00+02:00,13.49,12.36,5.9
2021-04-30 19:25:00+02:00,16.37,12.75,6.1
2021-04-30 19:30:00+02:00,20.66,17.89,5.8
2021-04-30 19:35:00+02:00,11.01,11.01,5.8
2021-04-30 19:40:00+02:00,10.32,10.08,5.8
2021-04-30 19:45:00+02:00,19.17,16.78,5.9
2021-04-30 19:50:00+02:00,16.7,14.55,5.9
2021-04-30 19:55:00+02:00,16.88,15.85,6.1
2021-04-30 20:00:00+02:00,11.28,10.89,6.1
2021-04-30 20:05:00+02:00,17.51,15.4,5.8
2021-04-30 20:10:00+02:00,21.2,19.9,6.0
2021-04-30 20:15:00+02:00,16.16,13.96,6.2
2021-04-30 20:20:00+02:00,41.54,34.29,
2021-04-30 20:25:00+02:00,16.31,15.22,6.0
2021-04-30 20:30:00+02:00,33.89,31.99,
2021-04-30 20:35:00+02:00,16.42,14.07,6.1
2021-04-30 20:40:00+02:00,12.66,11.23,6.1
2021-04-30 20:45:00+02:00,20.51,18.2,6.2
2021-04-30 20:50:00+02:00,26.89,21.09,
2021-04-30 20:55:00+02:00,23.16,19.14,6.4
2021-04-30 21:00:00+02:00,8.31,8.31,6.0
2021-04-30 21:05:00+02:00,9.48,9.48,6.0
2021-04-30 21:10:00+02:00,24.07,17.39,5.9
2021-04-30 21:15:00+02:00,32.56,25.35,
2021-04-30 21:20:00+02:00,9.04,9.04,
2021-04-30 21:25:00+02:00,26.96,19.76,
2021-04-30 21:30:00+02:00,7.47,7.47,0.0
2021-04-30 21:35:00+02:00,23.29,17.34,
2021-04-30 21:40:00+02:00,9.76,9.76,6.1
2021-04-30 21:45:00+02:00,13.38,12.61,
2021-04-30 21:50:00+02:00,11.39,9.64,6.0
2021-04-30 21:55:00+02:00,15.15,11.24,5.9
2021-04-30 22:00:00+02:00,51.06,33.84,5.8
2021-04-30 22:05:00+02:00,29.96,22.32,5.8
2021-04-30 22:10:00+02:00,34.63,25.92,5.8
2021-04-30 22:15:00+02:00,22.71,21.46,6.2
2021-04-30 22:20:00+02:00,19.08,16.06,6.0
2021-04-30 22:25:00+02:00,38.22,25.69,0.0
2021-04-30 22:30:00+02:00,13.69,12.35,
2021-04-30 22:35:00+02:00,59.61,39.12,
2021-04-30 22:40:00+02:00,44.85,34.29,5.7
2021-04-30 22:45:00+02:00,17.41,14.72,5.8
2021-04-30 22:50:00+02:00,90.66,58.38,5.8
2021-04-30 22:55:00+02:00,59.25,40.75,6.1
2021-04-30 23:00:00+02:00,42.61,30.52,6.2
2021-04-30 23:05:00+02:00,47.94,34.16,6.2
2021-04-30 23:10:00+02:00,43.31,30.96,6.2
2021-04-30 23:15:00+02:00,34.3,26.53,6.2
2021-04-30 23:20:00+02:00,27.27,21.09,5.9
2021-04-30 23:25:00+02:00,21.76,16.99,6.0
2021-04-30 23:30:00+02:00,57.39,41.16,6.1
2021-04-30 23:35:00+02:00,27.26,22.29,6.2
2021-04-30 23:40:00+02:00,74.18,49.07,6.1
2021-04-30 23:45:00+02:00,78.3,53.59,6.1
2021-04-30 23:50:00+02:00,140.11,90.67,6.3
2021-04-30 23:55:00+02:00,74.95,50.1,6.5
2021-05-01 00:00:00+02:00,100.69,67.4,6.4
2021-05-01 00:05:00+02:00,105.06,68.27,6.5
2021-05-01 00:10:00+02:00,77.03,53.57,6.6
2021-05-01 00:15:00+02:00,74.24,53.68,6.6
2021-05-01 00:20:00+02:00,65.17,44.72,6.6
2021-05-01 00:25:00+02:00,167.82,106.69,6.6
2021-05-01 00:30:00+02:00,87.42,63.02,6.6
2021-05-01 00:35:00+02:00,58.52,43.38,6.7
2021-05-01 00:40:00+02:00,91.77,65.38,6.5
2021-05-01 00:45:00+02:00,62.42,45.38,6.5
2021-05-01 00:50:00+02:00,54.8,39.74,6.4
2021-05-01 00:55:00+02:00,50.89,37.16,6.2
2021-05-01 01:00:00+02:00,76.83,53.82,6.1
2021-05-01 01:05:00+02:00,94.31,61.46,6.1
2021-05-01 01:10:00+02:00,64.07,43.63,6.2
2021-05-01 01:15:00+02:00,72.01,48.55,6.1
2021-05-01 01:20:00+02:00,83.71,54.41,6.2
2021-05-01 01:25:00+02:00,72.13,47.18,6.2
2021-05-01 01:30:00+02:00,75.79,49.75,6.1
2021-05-01 01:35:00+02:00,62.94,43.98,6.1
2021-05-01 01:40:00+02:00,44.12,33.83,6.3
2021-05-01 01:45:00+02:00,36.04,28.89,6.2
2021-05-01 01:50:00+02:00,57.03,40.21,6.2
2021-05-01 01:55:00+02:00,90.57,62.71,6.3
2021-05-01 02:00:00+02:00,41.78,33.37,6.2
2021-05-01 02:05:00+02:00,46.6,32.74,6.1
2021-05-01 02:10:00+02:00,73.73,51.49,6.1
2021-05-01 02:15:00+02:00,61.57,43.21,6.2
2021-05-01 02:20:00+02:00,52.53,39.78,6.3
2021-05-01 02:25:00+02:00,97.75,64.41,6.2
2021-05-01 02:30:00+02:00,66.1,49.16,6.1
2021-05-01 02:35:00+02:00,96.76,60.99,6.2
2021-05-01 02:40:00+02:00,65.35,43.38,6.2
2021-05-01 02:45:00+02:00,78.96,55.81,6.2
2021-05-01 02:50:00+02:00,57.12,39.7,6.3
2021-05-01 02:55:00+02:00,81.64,54.83,6.1
2021-05-01 03:00:00+02:00,86.68,58.33,6.2
2021-05-01 03:05:00+02:00,65.92,44.88,6.0
2021-05-01 03:10:00+02:00,83.24,56.11,6.1
2021-05-01 03:15:00+02:00,77.43,54.17,6.4
2021-05-01 03:20:00+02:00,49.06,35.77,6.4
2021-05-01 03:25:00+02:00,54.95,40.29,6.4
2021-05-01 03:30:00+02:00,67.17,47.03,6.1
2021-05-01 03:35:00+02:00,45.36,35.77,6.0
2021-05-01 03:40:00+02:00,91.4,62.05,5.9
2021-05-01 03:45:00+02:00,55.28,37.0,5.9
2021-05-01 03:50:00+02:00,66.51,43.72,5.9
2021-05-01 03:55:00+02:00,37.43,29.34,5.9
2021-05-01 04:00:00+02:00,66.32,45.41,5.8
2021-05-01 04:05:00+02:00,48.85,33.88,5.9
2021-05-01 04:10:00+02:00,132.88,84.58,5.8
2021-05-01 04:15:00+02:00,47.08,32.2,5.8
2021-05-01 04:20:00+02:00,77.8,56.45,5.7
2021-05-01 04:25:00+02:00,66.7,45.28,5.7
2021-05-01 04:30:00+02:00,49.96,36.84,5.8
2021-05-01 04:35:00+02:00,50.27,33.87,5.8
2021-05-01 04:40:00+02:00,58.25,43.45,5.9
2021-05-01 04:45:00+02:00,44.63,31.36,5.8
2021-05-01 04:50:00+02:00,59.54,39.89,5.9
2021-05-01 04:55:00+02:00,63.18,43.99,5.9
2021-05-01 05:00:00+02:00,41.65,30.59,5.8
2021-05-01 05:05:00+02:00,90.71,58.66,5.9
2021-05-01 05:10:00+02:00,35.36,28.34,6.0
2021-05-01 05:15:00+02:00,50.13,35.66,6.0
